,鄉鎮,年度,月份,旬,平均值,
台中市,石岡區,2016,5,2,2.56,2.22
台中市,石岡區,2016,5,1,2.22,2.11
台中市,石岡區,2016,4,3,2.11,99999
台中市,石岡區,2016,4,1,2.33,2.9
台中市,石岡區,2016,3,3,2.9,2.3
台中市,石岡區,2016,3,2,2.3,99999
台中市,石岡區,2016,2,3,2.6,1.7
台中市,石岡區,2016,2,2,1.7,99999
台中市,石岡區,2016,1,1,2.888888889,0.666666667
台中市,石岡區,2015,12,3,0.666666667,99999
台中市,石岡區,2015,12,1,8,10.4
台中市,石岡區,2015,11,3,10.4,10.4
台中市,石岡區,2015,11,2,10.4,8.8
台中市,石岡區,2015,11,1,8.8,13.7
台中市,石岡區,2015,10,3,13.7,99999
台中市,石岡區,2015,9,2,50.2,50.2
台中市,石岡區,2015,9,1,50.2,99999
台中市,石岡區,2015,8,2,8,99999
台中市,石岡區,2015,7,3,23.9,13.4
台中市,石岡區,2015,7,2,13.4,11.2
台中市,石岡區,2015,7,1,11.2,99999
台中市,石岡區,2015,6,2,4.2,4.6
台中市,石岡區,2015,6,1,4.6,99999
台中市,石岡區,2015,5,2,3.3,99999
台中市,石岡區,2015,4,2,2.1,1.8
台中市,石岡區,2015,4,1,1.8,1.8
台中市,石岡區,2015,3,3,1.8,1.4
台中市,石岡區,2015,3,2,1.4,1.4
台中市,石岡區,2015,3,1,1.4,99999
台中市,石岡區,2015,2,1,1.6,1.6
台中市,石岡區,2015,1,3,1.6,1.3
台中市,石岡區,2015,1,2,1.3,1.7
台中市,石岡區,2015,1,1,1.7,1.6
台中市,石岡區,2014,12,3,1.6,99999
台中市,石岡區,2014,11,3,0,99999
台中市,石岡區,2014,10,3,2.7,99999
台中市,石岡區,2014,8,3,2.2,2.4
台中市,石岡區,2014,8,2,2.4,2.1
台中市,石岡區,2014,8,1,2.1,2.4
台中市,石岡區,2014,7,3,2.4,2.6
台中市,石岡區,2014,7,2,2.6,99999
台中市,石岡區,2014,6,3,2.6,99999
台中市,石岡區,2014,6,1,1.9,0
台中市,石岡區,2014,5,3,0,99999
台中市,石岡區,2014,4,3,2,2.22
台中市,石岡區,2014,4,2,2.22,2.11
台中市,石岡區,2014,4,1,2.11,1.56
台中市,石岡區,2014,3,3,1.56,99999
台中市,石岡區,2014,2,3,1.6,99999
台中市,石岡區,2014,1,2,1.8,99999
台中市,石岡區,2013,12,2,1.6,1.7
台中市,石岡區,2013,12,1,1.7,1.8
台中市,石岡區,2013,11,3,1.8,1.8
台中市,石岡區,2013,11,2,1.8,2.4
台中市,石岡區,2013,11,1,2.4,99999
台中市,石岡區,2013,10,2,2.67,2
台中市,石岡區,2013,10,1,2,2
台中市,石岡區,2013,9,3,2,1.89
台中市,石岡區,2013,9,2,1.89,99999
台中市,石岡區,2013,7,2,2.2,2.4
台中市,石岡區,2013,7,1,2.4,2.6
台中市,石岡區,2013,5,3,2.6,99999
台中市,石岡區,2013,4,3,2.4,99999
台中市,石岡區,2013,1,2,2.2,2.1
台中市,石岡區,2013,1,1,2.1,99999
台中市,后里區,2016,5,3,0.56,0.44
台中市,后里區,2016,5,2,0.44,0.33
台中市,后里區,2016,5,1,0.33,0.11
台中市,后里區,2016,4,3,0.11,0.33
台中市,后里區,2016,4,2,0.33,0.22
台中市,后里區,2016,4,1,0.22,0
台中市,后里區,2016,3,3,0,0.1
台中市,后里區,2016,3,2,0.1,0.2
台中市,后里區,2016,3,1,0.2,0
台中市,后里區,2016,2,3,0,0
台中市,后里區,2016,2,2,0,0
台中市,后里區,2016,2,1,0,0.1
台中市,后里區,2016,1,3,0.1,0.1
台中市,后里區,2016,1,2,0.1,0.444444444
台中市,后里區,2016,1,1,0.444444444,2.555555556
台中市,后里區,2015,12,3,2.555555556,0.666666667
台中市,后里區,2015,12,2,0.666666667,0.222222222
台中市,后里區,2015,12,1,0.222222222,0.4
台中市,后里區,2015,11,3,0.4,0.4
台中市,后里區,2015,11,2,0.4,1
台中市,后里區,2015,11,1,1,1.4
台中市,后里區,2015,10,3,1.4,1.4
台中市,后里區,2015,10,2,1.4,2.2
台中市,后里區,2015,10,1,2.2,2.7
台中市,后里區,2015,9,3,2.7,1.4
台中市,后里區,2015,9,2,1.4,1.7
台中市,后里區,2015,9,1,1.7,1.3
台中市,后里區,2015,8,3,1.3,1.7
台中市,后里區,2015,8,2,1.7,2.8
台中市,后里區,2015,8,1,2.8,3.4
台中市,后里區,2015,7,3,3.4,2
台中市,后里區,2015,7,2,2,2.1
台中市,后里區,2015,7,1,2.1,99999
台中市,后里區,2015,6,2,1.4,2.1
台中市,后里區,2015,6,1,2.1,99999
台中市,后里區,2015,5,2,1.1,99999
台中市,后里區,2015,4,3,1.1,1.2
台中市,后里區,2015,4,2,1.2,0.8
台中市,后里區,2015,4,1,0.8,0.8
台中市,后里區,2015,3,3,0.8,0.7
台中市,后里區,2015,3,2,0.7,0.7
台中市,后里區,2015,3,1,0.7,0.4
台中市,后里區,2015,2,3,0.4,0.4
台中市,后里區,2015,2,2,0.4,0.3
台中市,后里區,2015,2,1,0.3,0.3
台中市,后里區,2015,1,3,0.3,0.4
台中市,后里區,2015,1,2,0.4,0.3
台中市,后里區,2015,1,1,0.3,0.4
台中市,后里區,2014,12,3,0.4,0
台中市,后里區,2014,12,2,0,0
台中市,后里區,2014,12,1,0,0
台中市,后里區,2014,11,3,0,0.6
台中市,后里區,2014,11,2,0.6,99999
台中市,后里區,2014,10,3,0.7,0.8
台中市,后里區,2014,10,2,0.8,0.7
台中市,后里區,2014,10,1,0.7,99999
台中市,后里區,2014,9,2,1.2,1.2
台中市,后里區,2014,9,1,1.2,1.2
台中市,后里區,2014,8,3,1.2,1.4
台中市,后里區,2014,8,2,1.4,1.4
台中市,后里區,2014,8,1,1.4,2.1
台中市,后里區,2014,7,3,2.1,1.8
台中市,后里區,2014,7,2,1.8,1.8
台中市,后里區,2014,7,1,1.8,99999
台中市,后里區,2014,6,2,1.8,2.2
台中市,后里區,2014,6,1,2.2,0
台中市,后里區,2014,5,3,0,2.22
台中市,后里區,2014,5,2,2.22,1.56
台中市,后里區,2014,5,1,1.56,99999
台中市,后里區,2014,4,2,0,0
台中市,后里區,2014,4,1,0,0
台中市,后里區,2014,3,3,0,0
台中市,后里區,2014,3,2,0,0
台中市,后里區,2014,3,1,0,0
台中市,后里區,2014,2,3,0,0
台中市,后里區,2014,2,2,0,0
台中市,后里區,2014,2,1,0,0
台中市,后里區,2014,1,3,0,0
台中市,后里區,2014,1,2,0,0
台中市,后里區,2014,1,1,0,0.3
台中市,后里區,2013,12,3,0.3,0.2
台中市,后里區,2013,12,2,0.2,0.1
台中市,后里區,2013,12,1,0.1,99999
台中市,后里區,2013,11,2,0.1,0.1
台中市,后里區,2013,11,1,0.1,0.4
台中市,后里區,2013,10,3,0.4,0.56
台中市,后里區,2013,10,2,0.56,0.78
台中市,后里區,2013,10,1,0.78,1.11
台中市,后里區,2013,9,3,1.11,0.56
台中市,后里區,2013,9,2,0.56,0.56
台中市,后里區,2013,9,1,0.56,0.44
台中市,后里區,2013,8,3,0.44,99999
台中市,后里區,2013,8,1,1.1,1.1
台中市,后里區,2013,7,3,1.1,1.2
台中市,后里區,2013,7,2,1.2,1.2
台中市,后里區,2013,7,1,1.2,1.2
台中市,后里區,2013,6,3,1.2,1.2
台中市,后里區,2013,6,2,1.2,99999
台中市,后里區,2013,5,3,1.9,1.6
台中市,后里區,2013,5,2,1.6,0.7
台中市,后里區,2013,5,1,0.7,1.2
台中市,后里區,2013,4,3,1.2,1.1
台中市,后里區,2013,4,2,1.1,99999
台中市,后里區,2013,3,3,1.2,0.7
台中市,后里區,2013,3,2,0.7,0.9
台中市,后里區,2013,3,1,0.9,0
台中市,后里區,2013,2,3,0,99999
台中市,后里區,2013,2,1,0,1
台中市,后里區,2013,1,3,1,0.3
台中市,后里區,2013,1,2,0.3,0
台中市,后里區,2013,1,1,0,99999
台中市,和平區,2016,5,3,1,1.56
台中市,和平區,2016,5,2,1.56,1.11
台中市,和平區,2016,5,1,1.11,0.89
台中市,和平區,2016,4,3,0.89,0.33
台中市,和平區,2016,4,2,0.33,0.89
台中市,和平區,2016,4,1,0.89,0.7
台中市,和平區,2016,3,3,0.7,0.3
台中市,和平區,2016,3,2,0.3,0.3
台中市,和平區,2016,3,1,0.3,0.6
台中市,和平區,2016,2,3,0.6,0.7
台中市,和平區,2016,2,2,0.7,0.3
台中市,和平區,2016,2,1,0.3,0.3
台中市,和平區,2016,1,3,0.3,0.4
台中市,和平區,2016,1,2,0.4,0.888888889
台中市,和平區,2016,1,1,0.888888889,40.16666667
台中市,和平區,2015,12,3,40.16666667,27.33333333
台中市,和平區,2015,12,2,27.33333333,0.555555556
台中市,和平區,2015,12,1,0.555555556,0.7
台中市,和平區,2015,11,3,0.7,0.8
台中市,和平區,2015,11,2,0.8,1
台中市,和平區,2015,11,1,1,0.9
台中市,和平區,2015,10,3,0.9,1
台中市,和平區,2015,10,2,1,0.9
台中市,和平區,2015,10,1,0.9,1.2
台中市,和平區,2015,9,3,1.2,1.2
台中市,和平區,2015,9,2,1.2,1.6
台中市,和平區,2015,9,1,1.6,1.2
台中市,和平區,2015,8,3,1.2,1.7
台中市,和平區,2015,8,2,1.7,1.6
台中市,和平區,2015,8,1,1.6,1.6
台中市,和平區,2015,7,3,1.6,1.3
台中市,和平區,2015,7,2,1.3,1.4
台中市,和平區,2015,7,1,1.4,99999
台中市,和平區,2015,6,2,1.2,1
台中市,和平區,2015,6,1,1,0.7
台中市,和平區,2015,5,3,0.7,1.1
台中市,和平區,2015,5,2,1.1,0.8
台中市,和平區,2015,5,1,0.8,0.9
台中市,和平區,2015,4,3,0.9,0.4
台中市,和平區,2015,4,2,0.4,0.8
台中市,和平區,2015,4,1,0.8,0.7
台中市,和平區,2015,3,3,0.7,0.7
台中市,和平區,2015,3,2,0.7,0.8
台中市,和平區,2015,3,1,0.8,0.8
台中市,和平區,2015,2,3,0.8,0.8
台中市,和平區,2015,2,2,0.8,0.4
台中市,和平區,2015,2,1,0.4,0.7
台中市,和平區,2015,1,3,0.7,0.6
台中市,和平區,2015,1,2,0.6,0.7
台中市,和平區,2015,1,1,0.7,0.7
台中市,和平區,2014,12,3,0.7,0
台中市,和平區,2014,12,2,0,0
台中市,和平區,2014,12,1,0,0
台中市,和平區,2014,11,3,0,0.4
台中市,和平區,2014,11,2,0.4,0.9
台中市,和平區,2014,11,1,0.9,0.9
台中市,和平區,2014,10,3,0.9,1.3
台中市,和平區,2014,10,2,1.3,1.2
台中市,和平區,2014,10,1,1.2,0.9
台中市,和平區,2014,9,3,0.9,1.1
台中市,和平區,2014,9,2,1.1,0.8
台中市,和平區,2014,9,1,0.8,1
台中市,和平區,2014,8,3,1,0.9
台中市,和平區,2014,8,2,0.9,0.9
台中市,和平區,2014,8,1,0.9,0.9
台中市,和平區,2014,7,3,0.9,0.8
台中市,和平區,2014,7,2,0.8,1.3
台中市,和平區,2014,7,1,1.3,1
台中市,和平區,2014,6,3,1,0.8
台中市,和平區,2014,6,2,0.8,0.7
台中市,和平區,2014,6,1,0.7,0
台中市,和平區,2014,5,3,0,0.67
台中市,和平區,2014,5,2,0.67,1.33
台中市,和平區,2014,5,1,1.33,1
台中市,和平區,2014,4,3,1,1.44
台中市,和平區,2014,4,2,1.44,0.89
台中市,和平區,2014,4,1,0.89,0.56
台中市,和平區,2014,3,3,0.56,0.78
台中市,和平區,2014,3,2,0.78,1
台中市,和平區,2014,3,1,1,1
台中市,和平區,2014,2,3,1,0.9
台中市,和平區,2014,2,2,0.9,1.1
台中市,和平區,2014,2,1,1.1,1.2
台中市,和平區,2014,1,3,1.2,1.2
台中市,和平區,2014,1,2,1.2,0.9
台中市,和平區,2014,1,1,0.9,1.1
台中市,和平區,2013,12,3,1.1,1
台中市,和平區,2013,12,2,1,1.3
台中市,和平區,2013,12,1,1.3,1.7
台中市,和平區,2013,11,3,1.7,2.3
台中市,和平區,2013,11,2,2.3,2.1
台中市,和平區,2013,11,1,2.1,1.8
台中市,和平區,2013,10,3,1.8,1.67
台中市,和平區,2013,10,2,1.67,1.44
台中市,和平區,2013,10,1,1.44,1.78
台中市,和平區,2013,9,3,1.78,1.44
台中市,和平區,2013,9,2,1.44,1.89
台中市,和平區,2013,9,1,1.89,1.78
台中市,和平區,2013,8,3,1.78,99999
台中市,和平區,2013,8,1,1.7,1.6
台中市,和平區,2013,7,3,1.6,1.8
台中市,和平區,2013,7,2,1.8,1.4
台中市,和平區,2013,7,1,1.4,1.9
台中市,和平區,2013,6,3,1.9,1.6
台中市,和平區,2013,6,2,1.6,99999
台中市,和平區,2013,5,3,1.7,1.2
